ρ,α,tmax,difference
0.25,0.75,310,0.010204
0.75,0.5,310,0.0106051
0.5,0.5,310,0.0203
0.25,0.5,310,0.0305061
0.75,0.25,310,0.0404071
0,0.75,310,0.101013
0.5,0.75,310,0.12151
0.5,0.25,310,0.12222
0.25,0.25,310,0.202128
0.75,0.75,310,0.262825
0,0.5,310,0.282419
0,0.25,310,0.293634
0,1,310,0.302626
0.25,0,310,0.394853
0.75,0,310,0.425338
0.5,0,310,0.454049
1,0,310,0.524753
0,0,310,0.574739
1,0.25,310,0.615849
0.25,1,310,0.747777
1,0.5,310,0.749391
1,0.75,310,1.08021
0.75,1,310,1.11351
0.5,1,310,1.16181
1,1,310,1.40554
0.25,0.75,300,0.020404
0.5,0.5,300,0.030004
0.75,0.25,300,0.0407081
0.25,0.5,300,0.0506091
0.75,0.5,300,0.060507
0,0.75,300,0.101314
0.5,0.75,300,0.151013
0.25,0.25,300,0.212828
0.5,0.25,300,0.222022
0,0.5,300,0.241921
0,1,300,0.262634
0.75,0.75,300,0.28253
0,0.25,300,0.363435
0.5,0,300,0.404945
0,0,300,0.473948
1,0,300,0.475347
0.25,0,300,0.485342
0.75,0,300,0.533754
1,0.25,300,0.584879
0.25,1,300,0.77768
1,0.5,300,0.939078
1,0.75,300,1.02101
0.5,1,300,1.18141
0.75,1,300,1.35132
1,1,300,1.55356
0.5,0.5,290,0.00040302
0.25,0.75,290,0.0404041
0.75,0.5,290,0.050703
0.25,0.5,290,0.0609081
0.75,0.25,290,0.0708081
0.5,0.75,290,0.10131
0,0.75,290,0.131421
0,0.5,290,0.192124
0.5,0.25,290,0.202219
0.75,0.75,290,0.253028
0,1,290,0.263439
0.25,0.25,290,0.282834
0,0.25,290,0.343534
0.75,0,290,0.375352
0,0,290,0.394847
1,0.25,290,0.487863
0.5,0,290,0.49445
0.25,0,290,0.534154
1,0,290,0.534656
0.25,1,290,0.767971
1,0.5,290,0.907788
1,0.75,290,1.10131
0.75,1,290,1.13163
0.5,1,290,1.14101
1,1,290,1.35555
0.5,0.5,280,0.040302
0.25,0.75,280,0.0404051
0.75,0.5,280,0.070304
0.75,0.25,280,0.0808091
0.25,0.5,280,0.0908132
0.5,0.75,280,0.131014
0,0.75,280,0.14212
0,0.5,280,0.212419
0.5,0.25,280,0.221915
0.25,0.25,280,0.283428
0.75,0.75,280,0.302842
0,1,280,0.343937
0,0.25,280,0.353438
0.25,0,280,0.415357
0.5,0,280,0.445047
1,0,280,0.465553
0,0,280,0.484746
0.75,0,280,0.535153
1,0.5,280,0.778795
1,0.25,280,0.78627
0.25,1,280,0.797069
0.5,1,280,1.10111
1,0.75,280,1.13071
0.75,1,280,1.16331
1,1,280,1.55546
0.5,0.5,270,0.0302021
0.75,0.5,270,0.0304021
0.25,0.75,270,0.040505
0.75,0.25,270,0.0809101
0.25,0.5,270,0.0813171
0.5,0.75,270,0.101417
0.5,0.25,270,0.191524
0,0.75,270,0.212013
0,0.5,270,0.241933
0.75,0.75,270,0.28423
0.25,0.25,270,0.34283
0,0.25,270,0.343836
0,1,270,0.393742
0,0,270,0.474551
0.5,0,270,0.504747
0.75,0,270,0.515252
0.25,0,270,0.535746
1,0,270,0.555254
1,0.25,270,0.626967
0.25,1,270,0.706885
1,0.5,270,0.879478
1,0.75,270,1.07073
0.5,1,270,1.11091
0.75,1,270,1.33143
1,1,270,1.54617
0.5,0.5,260,0.020207
0.75,0.5,260,0.0402091
0.25,0.75,260,0.050504
0.75,0.25,260,0.0910111
0.25,0.5,260,0.131708
0.5,0.75,260,0.141713
0.5,0.25,260,0.152419
0,0.5,260,0.193337
0,0.75,260,0.201326
0.25,0.25,260,0.283047
0,1,260,0.374236
0,0.25,260,0.383639
0.75,0.75,260,0.423032
0,0,260,0.45506
0.5,0,260,0.474663
0.75,0,260,0.525158
1,0,260,0.525363
0.25,0,260,0.574558
0.25,1,260,0.688486
1,0.25,260,0.696662
1,0.5,260,0.947795
1,0.75,260,1.07263
0.5,1,260,1.09122
0.75,1,260,1.14341
1,1,260,1.61737
0.5,0.5,250,0.0207041
0.75,0.5,250,0.0209101
0.25,0.75,250,0.0504041
0.75,0.25,250,0.101109
0,0.75,250,0.132629
0.25,0.5,250,0.170817
0.5,0.75,250,0.171315
0.5,0.25,250,0.241919
0.75,0.75,250,0.303236
0.25,0.25,250,0.304738
0,0.5,250,0.333726
0,0.25,250,0.363939
0,1,250,0.423638
0.25,0,250,0.455751
0.5,0,250,0.466261
0,0,250,0.50605
0.75,0,250,0.515755
1,0,250,0.536261
1,0.25,250,0.666172
1,0.5,250,0.779495
0.25,1,250,0.84858
0.5,1,250,1.12243
1,0.75,250,1.26301
0.75,1,250,1.34133
1,1,250,1.73667
0.25,0.75,240,0.0404081
0.5,0.5,240,0.0704101
0.25,0.5,240,0.0817131
0.75,0.5,240,0.0910101
0.75,0.25,240,0.110915
0.5,0.75,240,0.131524
0.5,0.25,240,0.191922
0,0.75,240,0.262928
0.75,0.75,240,0.323641
0,1,240,0.363845
0,0.5,240,0.372633
0,0.25,240,0.393941
0.25,0.25,240,0.473836
0.25,0,240,0.575054
0.75,0,240,0.575548
0,0,240,0.604957
1,0.25,240,0.617172
1,0,240,0.626064
0.5,0,240,0.626065
0.25,1,240,0.857994
1,0.5,240,0.949505
0.75,1,240,1.13283
0.5,1,240,1.24343
1,0.75,240,1.30102
1,1,240,1.66748
0.25,0.75,230,0.0408051
0.5,0.5,230,0.0410121
0.75,0.25,230,0.0915091
0.75,0.5,230,0.101013
0.5,0.75,230,0.152424
0.25,0.5,230,0.171312
0.5,0.25,230,0.192225
0,0.5,230,0.263336
0,0.75,230,0.292832
0.75,0.75,230,0.364145
0.25,0.25,230,0.383647
0,1,230,0.384459
0,0.25,230,0.394149
0,0,230,0.495665
0.25,0,230,0.505372
0.75,0,230,0.554764
1,0,230,0.606357
0.5,0,230,0.606452
1,0.25,230,0.717178
0.25,1,230,0.799385
1,0.5,230,0.950497
1,0.75,230,1.10184
0.75,1,230,1.28263
0.5,1,230,1.34302
1,1,230,1.74799
0.25,0.75,220,0.0805071
0.5,0.5,220,0.101211
0.75,0.5,220,0.10131
0.25,0.5,220,0.13122
0.75,0.25,220,0.150914
0.5,0.25,220,0.222535
0.5,0.75,220,0.242423
0,0.75,220,0.283243
0,0.5,220,0.33363
0.25,0.25,220,0.364746
0.75,0.75,220,0.414545
0,0.25,220,0.414857
0,1,220,0.445944
0.75,0,220,0.476371
0.25,0,220,0.537172
0,0,220,0.566454
1,0,220,0.635656
0.5,0,220,0.645167
1,0.25,220,0.717786
0.25,1,220,0.938481
1,0.5,220,1.04971
1,0.75,220,1.18354
0.75,1,220,1.26293
0.5,1,220,1.30183
1,1,220,1.79868
0.25,0.75,210,0.0507121
0.75,0.25,210,0.0914142
0.5,0.5,210,0.121111
0.25,0.5,210,0.122021
0.75,0.5,210,0.131019
0.5,0.75,210,0.242326
0.5,0.25,210,0.25354
0,0.75,210,0.324325
0,0.5,210,0.363037
0.75,0.75,210,0.454534
0.25,0.25,210,0.474553
0,0.25,210,0.485666
0.5,0,210,0.516675
1,0,210,0.565584
0,1,210,0.594363
0.75,0,210,0.637056
0,0,210,0.645359
0.25,0,210,0.717162
1,0.25,210,0.778589
0.25,1,210,0.848093
1,0.5,210,0.970615
0.5,1,210,1.18292
0.75,1,210,1.29333
1,0.75,210,1.35354
1,1,210,1.86769
0.25,0.75,200,0.0712082
